symbol,cik,agency,sp_equiv_rating,band,z_band,altmanZ,marketCap,confidence,accession,filing_date,doc_sha256,url,efts_verify,quote
JWN,72333,S&P,BB,WATCH,DISTRESS,0.356,4124015297,high,0000072333-25-000039,2025-03-21,6439b0e6786c666c285290f17b8f69428fb62ad16d8b34e8fa48fc5041a7e220,https://www.sec.gov/Archives/edgar/data/72333/000007233325000039/jwn-20250201.htm,https://efts.sec.gov/LATEST/search-index?q=%22BB%22&forms=10-K&ciks=0000072333,"At the time of this report, our credit ratings and outlook were as follows: Credit Ratings Outlook Moody’s Ba2 Stable S&P Global Ratings BB Stable Fitch Ratings BB Stable Should the ratings assigned to our long-term debt improve, the applicable margin associated with any borrowings under the Revolver may decrease, resulting in a lower borrowing cost under this facility."
LEVI,94845,S&P,BB+,WATCH,SAFE,3.165,9384564302,high,0000094845-26-000008,2026-01-28,59a4ae86999d38008f850137767841e65c3a213cb5d4fbd7012d34fe02564eb2,https://www.sec.gov/Archives/edgar/data/94845/000009484526000008/lvis-20251130.htm,https://efts.sec.gov/LATEST/search-index?q=%22BB+%22&forms=10-K&ciks=0000094845,"As of November 30, 2025, our long-term debt was rated BB+ by S&P Global Ratings, Ba1 by Moody’s Investors Service, Inc and BBB- by Fitch Ratings, Inc."
LTH,1869198,S&P,BB-,WATCH,DISTRESS,0.874,9275856092,high,0001869198-26-000010,2026-02-24,5c54e05b25086a3d41c5d4cec0201d8cb9222cea6e7fd62d0040a00e4aebdc06,https://www.sec.gov/Archives/edgar/data/1869198/000186919826000010/lth-20251231.htm,https://efts.sec.gov/LATEST/search-index?q=%22BB-%22&forms=10-K&ciks=0001869198,"The applicable margins have now decreased 50 basis points upon our achieving a certain first lien net leverage ratio and public corporate family ratings of Ba3 or BB- from any two of Moody’s, S&P and Fitch."
LUMN,18926,S&P,BB,WATCH,DISTRESS,-1.39,6954592500,high,0000018926-26-000014,2026-02-20,87569ab70042748bf3d397ae929479b3cf39fce13c7d47fd49e573bfbaba7429,https://www.sec.gov/Archives/edgar/data/18926/000001892626000014/lumn-20251231.htm,https://efts.sec.gov/LATEST/search-index?q=%22BB%22&forms=10-K&ciks=0000018926,"Standard & Poor's Fitch Ratings (1) Lumen Technologies, Inc.: Unsecured Caa1 B BB Secured B3/Caa1 B+ BB Level 3 Financing, Inc.: Unsecured B3 B- B- Secured Ba3 B+ BB Qwest Corporation: Unsecured Caa1 B BB _______________________________________________________________________________ (1) In February 2026, both Moody's and Fitch upgraded our corporate family ratings to B2 and B, representing a one-"
M,794367,S&P,BB+,WATCH,SAFE,3.149,5965700797,high,0001628280-26-021721,2026-03-27,47e1df1c9e94a3e0de3def3d714f16496c25f6461504899e4476b203bb91f4c7,https://www.sec.gov/Archives/edgar/data/794367/000162828026021721/m-20260131.htm,https://efts.sec.gov/LATEST/search-index?q=%22BB+%22&forms=10-K&ciks=0000794367,"As of January 31, 2026, the Company's credit rating and outlook were as described in the table below: Moody's Standard & Poor's Fitch Long-term debt Ba1 BB+ BBB- Outlook Stable Stable Stable The Company may at any time and from time to time purchase, redeem, prepay, refinance, or otherwise retire any amount of outstanding indebtedness pursuant to the terms of such indebtedness, in open market or n"
MTDR,1520006,S&P,BB-,WATCH,WATCH,2.443,6380277303,high,0001520006-26-000002,2026-02-26,2b4d2a3e534b9e2b667fc44b2e35324aa55cc5ef51e49782d77a3762ce7f3dca,https://www.sec.gov/Archives/edgar/data/1520006/000152000626000002/mtdr-20251231.htm,https://efts.sec.gov/LATEST/search-index?q=%22BB-%22&forms=10-K&ciks=0001520006,"As of February 24, 2026, our corporate credit ratings from S&P Global Ratings, Moody’s Investors Service and Fitch Ratings were “BB-,” “Ba3” and “BB,” respectively."
NCLH,1513761,S&P,B+,WATCH,DISTRESS,-1.481,9072013600,high,0001104659-26-022067,2026-03-02,fd8ec256d840edd65065f650147eee1139a04c579b14ebb0b5d63d6144524908,https://www.sec.gov/Archives/edgar/data/1513761/000110465926022067/nclh-20251231x10k.htm,https://efts.sec.gov/LATEST/search-index?q=%22B+%22&forms=10-K&ciks=0001513761,"Our S&P Global issuer credit rating is B+, our issue-level rating on our Revolving Loan Facility is BB and our senior unsecured rating is B+."
NWE,1993004,S&P,BBB,SAFE,DISTRESS,0.998,4356611640,high,0001993004-26-000006,2026-02-12,25e0c0e36b88dd97a4a8ac6d59b4380b1bb78342890d670a7b51e5f59f469973,https://www.sec.gov/Archives/edgar/data/1993004/000199300426000006/nweg-20251231.htm,https://efts.sec.gov/LATEST/search-index?q=%22BBB%22&forms=10-K&ciks=0001993004,"As of February 6, 2026, our current ratings with these agencies are as follows: 69 Issuer Rating Senior Secured Rating Senior Unsecured Rating Outlook NorthWestern Energy Group Fitch (1) BBB - BBB Stable Moody’s - - - - S&P BBB - - Positive NW Corp Fitch (1) BBB A- BBB+ Stable Moody’s Baa2 A3 Baa2 Stable S&P BBB A- - Positive NWE Public Service Fitch (1) BBB A- BBB+ Stable Moody’s Baa2 A3 - Stable"
NWL,814453,S&P,B+,WATCH,DISTRESS,-0.544,2179879470,high,0000814453-26-000008,2026-02-13,abbe33bc6efb7646b1c52eb218e4318eb476b01a484a53b3bda4de7ba86e3bdc,https://www.sec.gov/Archives/edgar/data/814453/000081445326000008/nwl-20251231.htm,https://efts.sec.gov/LATEST/search-index?q=%22B+%22&forms=10-K&ciks=0000814453,"(“S&P”) downgraded the Company’s senior unsecured debt rating to “B1” and “B+”, respectively."
NWN,1733998,S&P,A-,SAFE,DISTRESS,0.618,2088447870,high,0001733998-26-000012,2026-02-27,20b5de2c5025a6619827f1a996a0197a05d6654184768deee99376a78960382e,https://www.sec.gov/Archives/edgar/data/1733998/000173399826000012/nwn-20251231.htm,https://efts.sec.gov/LATEST/search-index?q=%22A-%22&forms=10-K&ciks=0001733998,"If NW Natural’s long-term secured credit ratings are below A- for S&P and A3 for Moody’s, dividends may be issued so long as NW Natural’s common equity is 45% or above."
NXST,1142417,S&P,BB+,WATCH,WATCH,2.297,5394402778,high,0001193125-26-078361,2026-02-27,fdb83c014a15d16fdd7bbe0343e13f8463f458136e0fe92a9dfd41181501c9da,https://www.sec.gov/Archives/edgar/data/1142417/000119312526078361/nxst-20251231.htm,https://efts.sec.gov/LATEST/search-index?q=%22BB+%22&forms=10-K&ciks=0001142417,"In 2025 and 2024, we generated total net revenue of $4.9 billion and $5.4 billion, respectively, generated net cash flow from operating activities of $891 million and $1.25 billion, respectively, and returned a significant percentage of that cash flow to shareholders in the form of share repurchases and dividends—$351 million in 2025 and $820 million in 2024—while maintaining a corporate credit ra"
OLN,74303,S&P,BB,WATCH,WATCH,1.617,2301215820,high,0000074303-26-000027,2026-02-20,f77e4acce2057b42063598807f7dd9bba15999aea44f395f771498ea7f737cd5,https://www.sec.gov/Archives/edgar/data/74303/000007430326000027/oln-20251231.htm,https://efts.sec.gov/LATEST/search-index?q=%22BB%22&forms=10-K&ciks=0000074303,"The following table summarizes our credit ratings as of February 19, 2026: Credit Rating Agency Long-term Rating Outlook Fitch Ratings BBB- Stable Moody’s Investors Service Ba1 Negative Standard & Poor’s BB Negative On February 18, 2026, S&P downgraded Olin to BB (from BB+) and affirmed its negative outlook."
OSK,775158,Fitch,BBB,SAFE,SAFE,4.697,8901896386,high,0001193125-26-054061,2026-02-17,b5b8cf548210507962ef250cc1fae9741b4ec288fa1a6c93f0dccbdb3e0d2b5b,https://www.sec.gov/Archives/edgar/data/775158/000119312526054061/osk-20251231.htm,https://efts.sec.gov/LATEST/search-index?q=%22BBB%22&forms=10-K&ciks=0000775158,"At December 31, 2025, the long-term credit ratings assigned to the Company’s senior debt securities by the credit rating agencies engaged by the Company were as follows: Rating Agency Rating Fitch Ratings BBB Moody’s Investor Services, Inc."
OTTR,1466593,S&P,BBB,SAFE,SAFE,3.26,3688303185,high,0001466593-26-000008,2026-02-18,92176d96cc3760423f4ae4cb711b7187119d23194be9c280507d64f0ad7d8d3f,https://www.sec.gov/Archives/edgar/data/1466593/000146659326000008/ottr-20251231.htm,https://efts.sec.gov/LATEST/search-index?q=%22BBB%22&forms=10-K&ciks=0001466593,Credit Ratings The current credit ratings of OTC and OTP are summarized below: Otter Tail Corporation Otter Tail Power Company Moody's Fitch S&P Moody's Fitch S&P Corporate Credit/Long-Term Issuer Default Rating Baa2 BBB BBB Baa1 BBB+ BBB+ Senior Unsecured Debt n/a BBB n/a n/a A- n/a Outlook Stable Stable Positive Stable Stable Stable CRITICAL ACCOUNTING POLICIES INVOLVING SIGNIFICANT ESTIMATES Th
PBF,1534504,S&P,BB,WATCH,WATCH,1.893,6307023949,high,0001534504-26-000010,2026-02-12,b82fc6239d3cd40506031598e5563b3d8b09b2feb6994bfbb96b53c382bc4091,https://www.sec.gov/Archives/edgar/data/1534504/000153450426000010/pbf-20251231.htm,https://efts.sec.gov/LATEST/search-index?q=%22BB%22&forms=10-K&ciks=0001534504,"The 6.00% senior unsecured notes due 2028 (the “2028 6.00% Senior Notes”), the 7.875% senior unsecured notes due 2030 (the “2030 7.875% Senior Notes”) and the 9.875% senior unsecured notes due 2030 (the “2030 9.875% Senior Notes”) are rated B1 by Moody’s, BB by S&P, and BB by Fitch."
PRMB,2042694,Moody's,B+,WATCH,DISTRESS,0.026,8578212806,high,0001628280-26-012779,2026-02-27,a000a002c83d03656ea977eac66ed461b1abaa94308a6de5c85f373842f5954b,https://www.sec.gov/Archives/edgar/data/2042694/000162828026012779/prmb-20251231.htm,https://efts.sec.gov/LATEST/search-index?q=%22B+%22&forms=10-K&ciks=0002042694,"As of December 31, 2025, our credit ratings were as follows: Credit Ratings Moody’s Standard and Poor’s Corporate / Family B1 BB- Senior Secured Ba3 BB Senior Unsecured B3 B Outlook Positive Neutral Any downgrade of our credit ratings by either Moody’s or Standard and Poor's could increase our future borrowing costs or impair our ability to access the capital markets on terms commercially acceptab"
R,85961,S&P,BBB+,SAFE,DISTRESS,0.91,10432259183,high,0000085961-26-000007,2026-02-11,4c9da1f0f376346bae7d5ccc434581e8c24b98de6f182dfa6aff1aa2797e507c,https://www.sec.gov/Archives/edgar/data/85961/000008596126000007/r-20251231.htm,https://efts.sec.gov/LATEST/search-index?q=%22BBB+%22&forms=10-K&ciks=0000085961,"MANAGEMENT'S DISCUSSION AND ANALYSIS OF FINANCIAL CONDITION AND RESULTS OF OPERATIONS Our debt ratings and rating outlooks as of December 31, 2025 were as follows: Rating Summary Short-term Long-term Long-term Outlook Standard & Poor’s Ratings Services A2 BBB+ Stable Moody’s Investors Service P2 Baa2 Positive Fitch Ratings F2 BBB+ Stable As of December 31, 2025, we had the following amounts availa"
SEE,1012100,S&P,BB+,WATCH,WATCH,1.229,6211799263,high,0001012100-26-000016,2026-03-02,a3ec94281aa2ece82409ec7930fef8f74a7a46de7baad1790bf64ae915ad266d,https://www.sec.gov/Archives/edgar/data/1012100/000101210026000016/see-20251231.htm,https://efts.sec.gov/LATEST/search-index?q=%22BB+%22&forms=10-K&ciks=0001012100,"Moody’s Ratings Standard & Poor’s Corporate Rating Ba1 BB+ Senior Unsecured Rating Ba2 BB+ Senior Secured Rating Baa2 BBB- Outlook Under Review Watch Neg Following the announcement of the CD&R acquisition on November 17, 2025, Standard & Poor's placed the Company on CreditWatch with negative implication and Moody's placed the Company's ratings under review for possible downgrade."
SPXC,88205,S&P,BB,WATCH,SAFE,4.051,10845546073,high,0000088205-26-000008,2026-02-25,48ccfe130993c75d933f2428d5cf6a86f933d58f92a0628b6dd460dd6ee5722c,https://www.sec.gov/Archives/edgar/data/88205/000008820526000008/spxc-20251231.htm,https://efts.sec.gov/LATEST/search-index?q=%22BB%22&forms=10-K&ciks=0000088205,"If we obtain a corporate credit rating from Moody’s and S&P and such corporate credit rating is less than “Ba2” (or not rated) by Moody’s and less than “BB” (or not rated) by S&P, then SPX Technologies, Inc., the borrowers and the domestic subsidiary guarantors are required to grant security interests, mortgages and other liens on substantially all of their assets."
ST,1477294,S&P,BB+,WATCH,SAFE,3.267,6509538379,high,0001477294-26-000007,2026-02-27,2250b2dee8b5a11df6c8b58f65879f1229051c2389a8f9b85cbf50ca29137b0d,https://www.sec.gov/Archives/edgar/data/1477294/000147729426000007/st-20251231.htm,https://efts.sec.gov/LATEST/search-index?q=%22BB+%22&forms=10-K&ciks=0001477294,"As of January 28, 2026, Moody’s Investors Service’s corporate credit rating for STBV was Ba2 with a stable outlook, and S&P's corporate credit rating for STBV was BB+ with a stable outlook."
SWK,93556,S&P,A-,SAFE,SAFE,2.96,13496652066,high,0000093556-26-000009,2026-02-24,dd86bbacae5a8d1a44ee482f6bfdfcb954ee8fe526ea3518a115d0887a1e4b18,https://www.sec.gov/Archives/edgar/data/93556/000009355626000009/swk-20260103.htm,https://efts.sec.gov/LATEST/search-index?q=%22A-%22&forms=10-K&ciks=0000093556,"In the third quarter of 2025, S&P downgraded the Company's senior unsecured debt credit rating from A- to BBB+."
SWX,1692115,S&P,BBB+,SAFE,WATCH,1.433,6597693423,high,0001692115-26-000062,2026-02-25,c590c147449deddfbc63d5a11de7f4fa6fb98ae50fd514895843a881e1a6878e,https://www.sec.gov/Archives/edgar/data/1692115/000169211526000062/swx-20251231.htm,https://efts.sec.gov/LATEST/search-index?q=%22BBB+%22&forms=10-K&ciks=0001692115,"41 Moody's (1) Standard & Poor's (2) Fitch (3) Southwest Gas Holdings, Inc.: Issuer rating Baa2 BBB+ BBB Outlook Stable Stable Stable Last reaffirmed April 2025 September 2025 August 2025 Southwest Gas Corporation: Senior unsecured long-term debt Baa1 BBB+ A- Outlook Stable Stable Stable Last reaffirmed April 2025 September 2025 August 2025 (1) Moody’s debt ratings range from Aaa (highest rating p"
TAP,24545,S&P,BBB,SAFE,DISTRESS,0.325,7265739570,high,0000024545-26-000006,2026-02-18,09643640e14568de0e62d48ed58c8f3c19d8261ee02899d5e6a1ec5a83a1d35e,https://www.sec.gov/Archives/edgar/data/24545/000002454526000006/tap-20251231.htm,https://efts.sec.gov/LATEST/search-index?q=%22BBB%22&forms=10-K&ciks=0000024545,"Credit Rating Our current long-term credit ratings are BBB/Stable Outlook, Baa1/Stable Outlook and BBB/Stable Outlook with Standard & Poor's, Moody's and DBRS, respectively."
TDS,1051512,S&P,BBB-,SAFE,WATCH,2.359,3689950680,high,0001051512-26-000011,2026-02-24,cf5d7d0433766caa32abd2736c3be22a638d9d2315e7c2b704543fde3a4d4698,https://www.sec.gov/Archives/edgar/data/1051512/000105151226000011/tds-20251231.htm,https://efts.sec.gov/LATEST/search-index?q=%22BBB-%22&forms=10-K&ciks=0001051512,"41 Index to MD&A The TDS and Array issuer credit ratings as of December 31, 2025, and the dates such ratings were issued were as follows: Rating Agency Rating Outlook Moody's (issued August 2025) Ba1 stable outlook Standard & Poor's (issued August 2025) BBB- stable outlook Fitch Ratings (issued September 2025) BB+ stable outlook Capital Requirements The discussion below is intended to highlight so"
TTC,737758,Moody's,BBB+,SAFE,SAFE,4.4,8894438476,high,0000737758-25-000115,2025-12-17,7b276153be72235e4204f4666c8bba85ef5b63618867d7522bdb1cd6e702b1ce,https://www.sec.gov/Archives/edgar/data/737758/000073775825000115/ttc-20251031.htm,https://efts.sec.gov/LATEST/search-index?q=%22BBB+%22&forms=10-K&ciks=0000737758,"As of October 31, 2025, our debt ratings for long-term unsecured senior, non-credit enhanced debt by Standard and Poor's Ratings Group and by Moody's Investors Service were BBB and Baa1, respectively, and in both cases with a stable outlook."
TXNM,1108426,S&P,BBB,SAFE,DISTRESS,0.649,6259373780,high,0001108426-26-000006,2026-02-27,eb631eeba13cbc0416334e89a3c657c175fdcd5788ecfcb397e07a48bedce6db,https://www.sec.gov/Archives/edgar/data/1108426/000110842626000006/pnm-20251231.htm,https://efts.sec.gov/LATEST/search-index?q=%22BBB%22&forms=10-K&ciks=0001108426,"As of February 13, 2026, ratings on the Company’s securities were as follows: TXNM PNM TNMP S&P Issuer rating BBB BBB BBB+ Senior secured debt * * A Senior unsecured debt BBB- BBB * Junior subordinated debt BB+ * * Preferred stock * BB+ * Moody’s Issuer rating Baa3 Baa2 Baa1 Senior secured debt * * A2 Senior unsecured debt Baa3 Baa2 * Junior subordinated debt Ba1 * * * Not applicable A summary of "
UCTT,1275014,S&P,BB-,WATCH,SAFE,3.23,4760322699,high,0001628280-26-010744,2026-02-23,2d717ee33f6f11e6c156a9bde68cf0dcf2809d794df46565a7fcef808199abd5,https://www.sec.gov/Archives/edgar/data/1275014/000162828026010744/uctt-20251226.htm,https://efts.sec.gov/LATEST/search-index?q=%22BB-%22&forms=10-K&ciks=0001275014,"The applicable margin for the Term Loan is equal to a rate per annum equal to either (i) at any time that the Company’s corporate family rating is Ba3 (with a stable outlook) or higher from Moody’s and BB- (with a stable outlook) or higher from S&P, (x) 2.50% for such Term SOFR loans and (y) 1.50% for such ABR term loans or (ii) at all other times, (x) 2.75% for such Term SOFR loans and (y) 1.75% "
USM,821130,S&P,BBB-,SAFE,WATCH,1.604,6623314898,high,0000821130-26-000012,2026-02-20,bbfd3ee9baf3e61eef4492ee6cfcb6a155344d1d60c1e6c7c0ee8f8578eea4a5,https://www.sec.gov/Archives/edgar/data/821130/000082113026000012/ad-20251231.htm,https://efts.sec.gov/LATEST/search-index?q=%22BBB-%22&forms=10-K&ciks=0000821130,"The Array issuer credit ratings as of December 31, 2025, and the dates such ratings were issued were as follows: Rating Agency Rating Outlook Moody's (issued August 2025) Ba1 stable outlook Standard & Poor's (issued August 2025) BBB- stable outlook Fitch Ratings (issued September 2025) BB+ stable outlook Capital Requirements The discussion below is intended to highlight some of the significant cas"
